# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7390
#@/user_id	161cd1e2-ea2e-4a71-9961-66087a8541a4
a 	啊	c=47 d=3.2835 t=7198
bu wan 	不玩	c=0 d=0.1 t=1613
bu wan la 	不玩啦	c=1 d=1 t=1614
bu wu liao 	不無聊	c=1 d=1 t=3160
bu xiang 	不像	c=0 d=0.1 t=1825
bu xiang 	不想	c=2 d=0.327818 t=5046
bu xiang chi 	不想吃	c=1 d=1 t=3369
bu xiang chi dong xi 	不想吃東西	c=1 d=1 t=1568
bu xiang shui 	不想誰	c=1 d=1 t=5047
bu xing 	不行	c=5 d=1.05182 t=6754
bu yao 	不要	c=9 d=1.22895 t=6063
bu yao yong 	不要用	c=1 d=1 t=5897
bu yi ding 	不一定	c=5 d=1.34819 t=5954
bu yi qi 	不一起	c=1 d=1 t=6207
bu yi yang 	不一樣	c=3 d=1.26032 t=6242
bu ying gai 	不應該	c=2 d=1.75957 t=6111
bu yong 	不用	c=6 d=2.12716 t=6664
bu zhao 	不着	c=0 d=0.1 t=1058
bu zhi 	不知	c=1 d=1 t=1509
bu zhi bu jue 	不知不覺	c=1 d=1 t=3718
bu zhi dao 	不知道	c=18 d=2.56029 t=6151
bu zhong yao 	不重要	c=1 d=1 t=1979
bu zhun 	不準	c=1 d=1 t=6946
bu zuo 	不坐	c=1 d=1 t=6692
cai 	才	c=7 d=1 t=6866
cai 	猜	c=4 d=1.06785 t=3940
cai fu 	財富	c=1 d=1 t=610
cai hong 	彩虹	c=2 d=1.18452 t=7250
cai hui 	纔會	c=1 d=1 t=3857
cai neng 	才能	c=1 d=1 t=5080
cai you 	纔有	c=1 d=1 t=4341
can he 	餐盒	c=0 d=0.1 t=4116
can he fei 	餐盒費	c=2 d=1.90484 t=4137
can jia 	參加	c=4 d=1 t=6623
can ren 	殘忍	c=1 d=1 t=2331
can shu 	參數	c=2 d=1 t=5541
can yu 	參與	c=2 d=1.00024 t=3284
can yu zhe 	參與者	c=1 d=1 t=1635
can zhan 	參展	c=2 d=1.99005 t=2067
cang ying 	蒼蠅	c=1 d=1 t=753
cao 	操	c=1 d=1 t=1569
cao 	草	c=1 d=1 t=765
cao kong 	操控	c=1 d=1 t=2619
cao zuo 	操作	c=1 d=1 t=6744
ce mian 	側面	c=1 d=1 t=7026
ceng 	曾	c=0 d=0.1 t=3584
ceng re dian 	曾熱點	c=1 d=1 t=3585
cha 	查	c=3 d=1.65377 t=7223
cha bie 	差別	c=1 d=1 t=4853
cha bu dao 	查不到	c=3 d=1.88692 t=4996
cha bu duo 	差不多	c=2 d=1.00036 t=4995
cha cha 	查查	c=1 d=1 t=1460
cha dao 	查到	c=1 d=1 t=4958
cha dian 	差點	c=1 d=1 t=6519
cha hua 	插畫	c=0 d=0.1 t=2125
cha hua shi 	插畫師	c=1 d=1 t=2126
cha jia 	差價	c=1 d=1 t=6347
cha kan 	查看	c=1 d=1 t=1384
cha le 	查了	c=1 d=1 t=2838
cha yi 	差異	c=1 d=1 t=6811
chan pin 	產品	c=1 d=1 t=2843
chang 	唱	c=1 d=1 t=4218
chang 	長	c=1 d=1 t=4000
chang di 	場地	c=2 d=1.97045 t=4800
chang hua 	長話	c=1 d=1 t=2163
chang hua duan shuo 	長話短說	c=1 d=1 t=3712
chang zai 	常在	c=0 d=0.1 t=3424
chang zi 	場子	c=0 d=0.1 t=2342
chao 	炒	c=1 d=1 t=1497
chao bang 	超棒	c=1 d=1 t=805
chao di 	抄底	c=1 d=1 t=6978
chao diao 	超叼	c=1 d=1 t=984
chao duan 	超短	c=1 d=1 t=547
chao fan 	超煩	c=1 d=1 t=1195
chao guo 	超過	c=1 d=1 t=6592
chao ji 	超級	c=1 d=1 t=5800
chao kun 	超困	c=1 d=1 t=2791
chao le 	抄了	c=1 d=1 t=6941
chao shi 	超市	c=2 d=1.00003 t=3382
chao xi huan 	超喜歡	c=1 d=1 t=3521
chao xiao 	超小	c=1 d=1 t=6830
chao yang 	超癢	c=1 d=1 t=1473
che 	車	c=3 d=1.24087 t=3056
chen ai 	塵埃	c=1 d=1 t=2548
chen ji 	趁機	c=1 d=1 t=1876
cheng 	成	c=2 d=1 t=4909
cheng 	程	c=1 d=0.101637 t=6203
cheng ben 	成本	c=1 d=1 t=6265
cheng meng 	承蒙	c=1 d=1 t=3288
cheng wei 	成爲	c=4 d=3.23381 t=124
cheng xu 	程序	c=2 d=1.37531 t=826
cheng yu 	成語	c=1 d=1 t=885
cheng yuan 	成員	c=1 d=1 t=1792
chi 	吃	c=12 d=1.00001 t=6646
chi dao 	遲到	c=2 d=1.54881 t=1413
chi de 	吃得	c=0 d=0.1 t=1558
chi de zui bao 	吃得最飽	c=1 d=1 t=1559
chi dian 	吃點	c=1 d=1 t=1294
chi dong xi 	吃東西	c=1 d=0.39671 t=1567
chi duo 	吃多	c=2 d=1.00003 t=3667
chi fan 	吃飯	c=3 d=1.00541 t=6459
chi ge 	吃個	c=0 d=0.1 t=4090
chi ge sha 	吃個啥	c=1 d=1 t=4091
chi guo 	吃過	c=1 d=0.153131 t=5322
chi hao le 	吃好了	c=1 d=1 t=1370
chi ji 	吃雞	c=1 d=1 t=3977
chi la 	吃辣	c=1 d=1 t=1505
chi le 	吃了	c=1 d=1 t=1551
chi liang dun 	吃兩頓	c=1 d=1 t=1083
chi sha 	吃啥	c=8 d=1.07865 t=5257
chi sha 	癡傻	c=1 d=1 t=1273
chi shao 	吃少	c=1 d=1 t=3668
chi shi 	吃屎	c=1 d=1 t=3893
chi wai mai 	吃外賣	c=1 d=1 t=2912
chi wan 	吃完	c=1 d=1 t=4027
chong chong 	沖沖	c=1 d=1 t=1329
chong fu 	重複	c=1 d=1 t=432
chong wu 	寵物	c=1 d=1 t=2048
chong xie 	重寫	c=3 d=1 t=5661
chong xin 	重新	c=4 d=1.05234 t=7352
chong ya 	衝壓	c=0 d=0.1 t=1334
chong ya qi 	衝壓器	c=1 d=1 t=1335
chou kong 	抽空	c=1 d=1 t=3172
chou lao 	酬勞	c=1 d=1 t=2100
chu 	出	c=2 d=1 t=4404
chu fa 	出發	c=1 d=1 t=7126
chu lai 	出來	c=5 d=1.95081 t=4634
chu le 	除了	c=2 d=1 t=5094
chu li 	處理	c=1 d=1 t=4641
chu mai 	出賣	c=1 d=1 t=5022
chu men 	出門	c=2 d=1.45612 t=1185
chu qu 	出去	c=5 d=1.00001 t=6445
chu sheng 	出生	c=1 d=1 t=1209
chu wen ti 	出問題	c=1 d=1 t=4542
chu xue 	出血	c=1 d=1 t=2642
chu zai 	處在	c=0 d=0.1 t=1812
chu zai na 	處在那	c=1 d=1 t=1813
chuan 	傳	c=0 d=0.1 t=4914
chuan 	穿	c=1 d=1.06079 t=794
chuan bo 	傳播	c=1 d=1 t=2305
chuan jin qu 	傳進去	c=1 d=1 t=4915
chuang jian 	創建	c=1 d=1 t=4368
chun se 	純色	c=1 d=1 t=3503
chun tian 	春天	c=1 d=1 t=4344
ci 	次	c=1 d=1 t=4010
ci 	詞	c=1 d=1 t=3781
ci dai 	磁帶	c=1 d=1 t=1924
ci ku 	詞庫	c=1 d=1 t=7
ci shen 	刺身	c=1 d=1 t=1620
cong 	從	c=3 d=1.02195 t=5633
cong ling 	從零	c=1 d=1 t=4065
cong ming 	聰明	c=2 d=1.96079 t=705
cong na lai 	從哪來	c=1 d=1 t=1999
cong su 	從速	c=1 d=1 t=4544
cong wang shang 	從網上	c=1 d=1 t=4622
cou ge 	湊個	c=1 d=1 t=6534
cu liang 	粗糧	c=1 d=1 t=978
cun dao 	存到	c=1 d=1 t=5522
cuo 	錯	c=1 d=1 t=6871
cuo guo 	錯過	c=1 d=1 t=3725
cuo le 	錯了	c=1 d=1 t=939
cuo wu 	錯誤	c=1 d=0.100098 t=6294
da 	大	c=6 d=1.00228 t=6814
da 	打	c=6 d=1.24423 t=6813
da 	達	c=0 d=0.1 t=1251
da an 	答案	c=1 d=1 t=6875
da bu fen 	大部分	c=2 d=1.00549 t=5558
da che 	打車	c=2 d=1.77105 t=6483
da cheng 	達成	c=1 d=1 t=198
da da 	大大	c=1 d=1 t=2846
da de 	打得	c=0 d=0.1 t=4730
da de kai 	打得開	c=1 d=1 t=4731
da dian hua 	打電話	c=5 d=1.00095 t=6405
da fen 	大糞	c=1 d=1 t=2932
da gai 	大概	c=3 d=1 t=6454
da ge 	大哥	c=1 d=1 t=1693
da ge dian hua 	打個電話	c=1 d=1 t=871
da jia 	大家	c=2 d=1.00003 t=2962
da jia 	打架	c=1 d=1 t=3532
da pan 	大盤	c=0 d=0.1 t=1476
da pan ji 	大盤雞	c=1 d=1 t=1477
da suan 	打算	c=12 d=1.49735 t=6802
da tao sha 	大逃殺	c=1 d=1 t=234
da xiao 	大小	c=1 d=1 t=5575
da xiao xie 	大小寫	c=2 d=1.92312 t=4296
da xue 	大雪	c=1 d=1 t=3421
da xue zhang 	打雪仗	c=1 d=1 t=3478
da ya 	大牙	c=2 d=1.80654 t=1363
da yin 	打印	c=3 d=1.87783 t=4580
da yuan 	大圓	c=5 d=3.7267 t=204
da zhong 	大中	c=0 d=0.1 t=4024
da zhong 	大衆	c=1 d=1 t=2636
da zhong wu 	大中午	c=1 d=1 t=4025
dai 	帶	c=5 d=2.66035 t=6001
dai biao 	代表	c=1 d=1 t=5920
dai ma 	代碼	c=17 d=1.00306 t=7374
dai ma zhi shen 	代碼之神	c=1 d=1 t=922
dai zhe 	呆着	c=1 d=1 t=7288
dai zhe 	帶着	c=2 d=1 t=6515
dan ci 	單詞	c=2 d=1.00135 t=2438
dan dan 	淡淡	c=1 d=1 t=1259
dan ge 	單個	c=1 d=1 t=168
dan mian 	單面	c=1 d=1 t=2186
dan shen 	單身	c=1 d=1 t=6641
dan shi 	但是	c=39 d=1.88693 t=7206
dan wei 	單位	c=0 d=0.1 t=3636
dan xin 	擔心	c=1 d=1 t=6671
dan you 	但有	c=1 d=1 t=1508
dang 	當	c=4 d=1 t=7227
dang cheng 	當成	c=1 d=1 t=2046
dang shi 	當時	c=3 d=1.52994 t=6836
dang tian 	當天	c=1 d=1 t=1622
dang wo 	當我	c=1 d=1 t=4400
dang zhong 	當衆	c=1 d=1 t=3892
dao 	刀	c=10 d=2.9027 t=6449
dao 	到	c=14 d=1.14502 t=7388
dao ban 	盜版	c=1 d=1 t=2103
dao di 	到底	c=2 d=1 t=4279
dao huo 	到貨	c=1 d=1 t=4122
dao le 	到了	c=1 d=1 t=1076
dao lu shang 	道路上	c=1 d=1 t=3839
dao qu 	盜取	c=1 d=1 t=2220
dao shi 	倒是	c=1 d=1 t=5109
dao shi hou 	到時候	c=3 d=1.8605 t=2872
dao xian zai 	到現在	c=1 d=1 t=7297
dao zhi 	導致	c=2 d=1 t=4415
de 	得	c=5 d=1.45507 t=6584
de 	的	c=385 d=11.0491 t=7373
de le 	得了	c=1 d=1 t=6447
deng 	等	c=4 d=1.90937 t=4645
deng hui 	燈會	c=1 d=1 t=275
deng pao 	燈泡	c=2 d=1.95123 t=6366
deng xia 	燈下	c=1 d=1 t=1104
deng xia 	等下	c=4 d=1 t=6384
deng yu 	等於	c=1 d=1 t=5491
di 	低	c=1 d=1 t=5601
di 	底	c=0 d=0.1 t=3377
di di 	滴滴	c=1 d=1 t=2670
di er 	地兒	c=0 d=0.1 t=1608
di er 	第二	c=0 d=0.118825 t=4530
di er hang 	第二行	c=6 d=4.27212 t=4659
di er ji 	第二集	c=1 d=1 t=4197
di fang 	地方	c=3 d=1 t=6816
di qi 	第七	c=1 d=1 t=6920
di san 	第三	c=1 d=1 t=2502
di san ge 	第三個	c=1 d=1 t=2839
di wu 	第五	c=0 d=0.1 t=7057
di wu zhi yuan 	第五志願	c=1 d=1 t=7058
di yi 	第一	c=0 d=0.100035 t=2156
di yi ci 	第一次	c=1 d=1 t=6659
di yi ge 	第一個	c=2 d=1.00115 t=6837
di yi hang 	第一行	c=7 d=1.0285 t=5668
di yi ji 	第一季	c=1 d=1 t=4193
di yi ji 	第一集	c=1 d=1 t=5384
di yi jian 	第一件	c=1 d=1 t=2157
di yi ju 	第一句	c=1 d=1 t=564
di yi zhang 	第一章	c=1 d=1 t=2496
di zhi 	地址	c=2 d=1 t=7217
dian 	店	c=0 d=0.1 t=2920
dian 	點	c=15 d=1.10734 t=7235
dian fu 	墊付	c=1 d=1 t=4120
dian hua 	電話	c=1 d=1.09371 t=831
dian nao 	電腦	c=7 d=1.79874 t=6128
dian nao li 	電腦裏	c=1 d=1 t=3877
dian shi 	電視	c=1 d=1 t=4016
dian shu 	點數	c=0 d=0.1 t=2762
dian ti 	電梯	c=2 d=1.98511 t=1854
dian xin 	電信	c=1 d=1 t=5010
dian ying 	電影	c=2 d=1.00447 t=3523
diao 	叼	c=1 d=1 t=761
diao 	屌	c=2 d=1.00075 t=4700
diao 	掉	c=5 d=1.15336 t=7109
die 	疊	c=0 d=0.1 t=2362
die 	跌	c=0 d=0.1 t=2361
die yi fu 	疊衣服	c=1 d=1 t=2363
die yi fu 	跌衣服	c=1 d=1 t=2362
ding 	訂	c=8 d=2.06718 t=6710
ding le 	訂了	c=1 d=1 t=2871
ding yi 	定義	c=1 d=1 t=4677
ding zai 	釘在	c=1 d=1 t=504
dong 	冬	c=0 d=0.1 t=282
dong 	動	c=0 d=0.1 t=602
dong hai mei dong 	動還沒動	c=1 d=1 t=603
dong shou 	動手	c=1 d=1 t=1997
dong wu 	動物	c=4 d=3.62227 t=2303
dong xi 	東西	c=16 d=1.01383 t=6442
dong yin gong 	冬陰功	c=1 d=1 t=283
dou 	都	c=32 d=1.25763 t=7351
dou bu hao 	都不好	c=1 d=1 t=3669
dou chu 	都出	c=1 d=1 t=3970
dou dong 	抖動	c=1 d=1 t=5427
dou fu 	豆腐	c=0 d=0.1 t=2561
dou fu che 	豆腐車	c=1 d=1 t=2562
dou ke yi 	都可以	c=1 d=1 t=2178
dou mei 	都沒	c=3 d=1 t=7012
dou shi 	都是	c=9 d=1.60861 t=5961
dou xing 	都行	c=2 d=1.6578 t=2052
dou yong 	都用	c=1 d=1 t=3750
dou zhe yang 	都這樣	c=1 d=1 t=2392
du 	度	c=0 d=0.1 t=2461
du 	讀	c=2 d=1 t=5075
du shu 	讀書	c=1 d=1 t=6817
du yue 	讀閱	c=1 d=1 t=2461
duan 	端	c=0 d=0.1 t=319
duan le 	斷了	c=1 d=1 t=512
duan shuo 	短說	c=1 d=1 t=2164
duan xian 	斷線	c=1 d=1 t=496
duan xin 	短信	c=2 d=1.00081 t=6376
dui 	對	c=14 d=1.00025 t=7336
dui bi 	對比	c=1 d=1 t=2482
dui bu 	對不	c=1 d=1 t=6508
dui fang 	對方	c=2 d=1.94649 t=829
dui le 	對了	c=4 d=1.00004 t=3596
dui me 	對麼	c=1 d=1 t=3139
dui shou 	對手	c=1 d=1 t=897
dui you 	隊友	c=1 d=1 t=4781
duo 	多	c=11 d=0.509582 t=6236
duo chu 	多出	c=2 d=1.00737 t=5097
duo da 	多大	c=1 d=1 t=5572
duo dong zheng 	多動症	c=1 d=1 t=2366
duo fang 	多方	c=1 d=1 t=1649
duo gei 	多給	c=1 d=1 t=4112
duo jiu 	多久	c=2 d=1.0003 t=6580
duo ren 	多人	c=1 d=1 t=7189
duo shao qian 	多少錢	c=5 d=1.21712 t=6851
duo shuang 	多爽	c=1 d=1 t=4023
duo tao 	多掏	c=1 d=1 t=6270
duo xie 	多謝	c=2 d=1.62189 t=3292
duo yang xing 	多樣性	c=1 d=1 t=3266
e 	額	c=5 d=1.0032 t=4778
e la 	餓啦	c=1 d=1 t=3967
e le 	額了	c=1 d=1 t=1434
e le 	餓了	c=2 d=1.003 t=3351
e si 	餓死	c=1 d=1 t=281
ei 	誒	c=1 d=1 t=4706
en 	恩	c=54 d=2.11285 t=7343
en ren 	恩人	c=1 d=1 t=2211
er 	兒	c=4 d=1.00001 t=6528
er 	而	c=4 d=1.00063 t=7183
er 	耳	c=1 d=1 t=3533
er ci 	二次	c=1 d=1 t=2951
er duo 	耳朵	c=1 d=1 t=7269
er nian ji 	二年級	c=1 d=1 t=6544
er qie 	而且	c=6 d=1.7264 t=5753
er yi 	而已	c=2 d=1.00001 t=3586
fa 	發	c=11 d=1.40481 t=7051
fa cuo 	發錯	c=4 d=1.00006 t=6873
fa cuo di er 	發錯地兒	c=1 d=1 t=1609
fa guo qu 	發過去	c=1 d=1 t=1108
fa qi 	發起	c=0 d=0.1 t=7174
fa qi zhe 	發起者	c=1 d=1 t=7175
fa shao 	發燒	c=1 d=1 t=3398
fa sheng 	發生	c=1 d=1 t=7087
fa tang 	發燙	c=0 d=0.1 t=4271
fa xian 	發現	c=16 d=1.03439 t=7366
fa xing 	髮型	c=1 d=1 t=1695
fan 	反	c=1 d=1 t=2396
fan 	飯	c=1 d=1 t=3662
fan bo 	反駁	c=1 d=1 t=2276
fan cheng 	返程	c=1 d=1 t=6750
fan dui zhe 	反對者	c=1 d=1 t=2285
fan fu 	反覆	c=1 d=1 t=5714
fan guan 	飯館	c=1 d=1 t=3357
fan si 	反思	c=1 d=1 t=241
fan si 	煩死	c=1 d=1 t=242
fan wei 	範圍	c=1 d=1 t=5591
fan ye 	翻頁	c=1 d=1 t=4929
fan yi ci 	反義詞	c=1 d=1 t=5023
fan zheng 	反正	c=5 d=1.06174 t=7056
fang 	放	c=5 d=1.01128 t=6443
fang dao 	放到	c=2 d=1.0022 t=5543
fang fa 	方法	c=4 d=1.00186 t=5953
fang huo 	防火	c=1 d=1 t=1679
fang jia 	放假	c=4 d=1 t=6610
fang jian 	房間	c=1 d=1 t=1333
fang kuai 	方塊	c=1 d=1 t=3504
fang kuang 	方框	c=1 d=1 t=5919
fang qi 	放棄	c=1 d=1 t=6761
fang sha 	放啥	c=1 d=1 t=1298
fang wen 	訪問	c=2 d=1.90032 t=334
fang xiang 	方向	c=3 d=2.35132 t=203
fang xue 	放學	c=1 d=1 t=6930
fang zai 	放在	c=2 d=1.02573 t=3851
fang zhe 	放着	c=1 d=1 t=5278
fang zi 	房子	c=1 d=1 t=645
fei 	費	c=0 d=0.1 t=4116
fei chang 	非常	c=1 d=1 t=3833
fei hua 	廢話	c=1 d=1 t=5935
fei ji 	飛機	c=2 d=1.86502 t=3023
fei ren 	廢人	c=1 d=1 t=3410
fen 	分	c=1 d=1 t=5231
fen 	粉	c=0 d=0.100011 t=2930
fen bian lv 	分辨率	c=4 d=3.0787 t=5605
fen bie 	分別	c=2 d=1 t=3507
fen jie 	分解	c=1 d=1 t=166
fen kai 	分開	c=1 d=1 t=6304
fen ming 	分明	c=1 d=1 t=1223
fen xi 	分析	c=1 d=1 t=5584
fen zhong 	分鐘	c=4 d=1 t=6687
feng le 	封了	c=1 d=1 t=4409
feng sheng 	風聲	c=1 d=1 t=1261
fou 	否	c=1 d=1 t=6976
fu 	服	c=1 d=1 t=246
fu gai 	覆蓋	c=1 d=1 t=7108
fu hao 	符號	c=1 d=1 t=6994
fu nv jie 	婦女節	c=1 d=1 t=2729
fu qin 	父親	c=1 d=1 t=1217
fu shu 	負數	c=1 d=1 t=6741
fu wu qi 	服務器	c=3 d=2.32567 t=535
fu ying 	浮盈	c=1 d=1 t=601
fu za 	複雜	c=2 d=1 t=5071
gai 	改	c=3 d=1.79852 t=6255
gai 	該	c=2 d=1 t=6209
gai ban 	改版	c=1 d=1 t=1464
